"Filter";"Afficher les filtres"
"Init";"Vider les filtres"
"Start";"Démarrer"
"Cancel";"Annuler"
"Emailer Spooler Scheduler";"Plannng file d'attente d'emails"
"Number of emails";"Nombre d'emails"
"Number of emails sent";"Nombre d'emails envoyés"
"Error";"Erreur"
"Error code";"Code d'erreur"
"Created at";"Créé le"
"Email spooler";"Emailing"
"To";"De"
"Subject";"Sujet"
"Body";"Corps du message"
"Is sent";"Envoyé ?"
"Scheduler";"Planning d'envoi"
"Emails spooler";"File d'attente des emails"
"Settings";"Configuration"
"No email";"Aucun email"
"Email Spooler";"Emailing système"
"Sent at";"Envoyé le"