"Settings have been saved.";"Les paramètres ont été enregistrés."
"Forms has some errors.";"Le formulaire comporte des erreurs."
"Settings";"Configuration"
"Cancel";"Annuler"
"Save";"Enregistrer"
"strategy";"stratègie"
"login";"identifiant"
"password";"mot de passe"
"Send";"Envoyer"
"SMS box settings";"Configuration SMS Box"
"SMS has been sent.";"Le SMS a été envoyé."
"Created at";"Créé le"
"Filter";"Afficher les filtres"
"Init";"Vider les filtres"
"Reference";"Référence"
"Error Api";"Erreur API"
"Error CallBack";"Erreur retour"
"SMS can not be transmitted.";"Le SMS n'a pas pu être transmis."