"Edit company";"Edition de la société"
"edit company";"Edition de la société"
"cancel";"annuler"
"name";"nom"
"address1";"adresse 1"
"address2";"adresse 2"
"city";"ville"
"country";"pays"
"header";"haut de page"
"footer";"bas de page"
"picture";"logo"
"phone";"téléphone"
"mobile";"portable"
"Company";"Société"
"add header";"Ajouter le haut de page"
"add footer";"Ajouter la bas de page"
"delete";"supprimer"
"change picture";"changer le logo"
"commercial name";"nom commercial"
"save";"enregistrer"
"Add picture";"Ajouter le logo"
"Company has been saved.";"La société a été enregistrée."