"pictures";"images"
"galleries";"galeries"
"Galleries";"Galeries"
"CUSTOMER";"Client"
"Galleries";"Galeries"
"title";"titre"
"active";"actif"
"expired";"expire"
"start";"démarre"
"from";"de"
"to";"à"
"Pictures";"Images"
"view pictures for gallery";"Editer les images pour la galerie"
"View pictures for gallery";"Editer les images pour la galerie"
"cancel";"retour"
"no picture available.";"aucune image disponible"
"pictures position in gallery";"position des images dans la galerie"
"Form has some errors.";"Le formulaire comporte des erreurs."
"Add picture";"Ajouter une image"
"Cancel";"Retour"
"New picture for [%s] gallery";"Nouvelle image pour la galerie [%s]"
"Name";"Nom"
"Title";"Titre"
"Target";"Cible"
"Picture";"Image"
"Picture has been created.";"L'image a été créée."
"New picture";"Nouvelle image"
"Pictures bank";"Banque d'images"
"Picture";"Image"
"Active";"Actif"
"Link";"Lien"
"Picture has been saved";"L'image a été enregistrée."
"Add pictures";"Ajouter des images"
"Picture ""#0#"" will be deleted. Confirm ?";"L\'image ""#0#"" va être supprimée. Confirmez vous ?"
"View picture [%s] for [%s] gallery";"Editer l'image [%s] pour la galerie [%s]."
"Change picture";"Changer l'image"
"Size";"Taille"
"Content";"Contenu"
"Save";"Enregistrer"
"Copy picture";"Copier l'image"
"Copy";"Copier"
"[0]no picture copied.|[1]one picture copied.|(1,Inf]%s pictures copied.";"[0]aucune image copiée|[1]une image copiée|(1,Inf]%s images copiées."
"Filter";"Afficher les filtres"
"Init";"Vider les filtres"