"month_january";"january"
"month_february";"february"
"month_march";"march"
"month_april";"april"
"month_may";"may"
"month_june";"june"
"month_july";"july"
"month_august";"août"
"month_september";"september"
"month_october";"october"
"month_november";"november"
"month_december";"december"
"day_su";"sun"
"day_mo";"mon"
"day_tu";"tues"
"day_we";"wed"
"day_th";"thu"
"day_fr";"fri"
"day_sa";"sat"
"day_sunday";"sunday"
"day_monday";"monday"
"day_tuesday";"tuesday"
"day_wednesday";"wednesday"
"day_thursday";"thursday"
"day_friday";"friday"
"day_saturday";"saturday"
"day_short_su";"su"
"day_short_mo";"mo"
"day_short_tu";"tu"
"day_short_we";"we"
"day_short_th";"th"
"day_short_fr";"fr"
"day_short_sa";"sa"
"day-ranking-st";"{day}st"
"day-ranking-nd";"{day}nd"
"day-ranking-rd";"{day}rd"
"day-ranking-th";"{day}th"